"habitat","pressure","value","year"
"deep_waters","chi",0.738184686867194,2003
"deep_waters","chi",0.779800282425663,2004
"deep_waters","chi",0.856098215774793,2005
"deep_waters","chi",0.888561182822567,2006
"deep_waters","chi",0.916062001034787,2007
"deep_waters","chi",0.939244285465663,2008
"deep_waters","chi",1.00065015279124,2009
"deep_waters","chi",1.08102772060188,2010
"deep_waters","chi",1.10073714749722,2011
"deep_waters","chi",1.10997249754079,2012
"deep_waters","chi",1.12271799269505,2013
